PeakID (cmd=annotatePeaks.pl bam_atac.mRp.clN_peaks.narrowPeak dm3_rel78.fa.gz -gid -gtf Drosophila_melanogaster.BDGP5.78.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
bam_atac.mRp.clN_peak_5955	2R	20973073	20973586	+	109	NA	TTS (FBgn0003715)	protein_coding-TTS (FBgn0003715)	-1486	FBgn0004919	FBgn0004919	FBtr0306330			gol			protein_coding
bam_atac.mRp.clN_peak_4201	2R	8158616	8159021	+	109	NA	intron (FBgn0000253, intron 3 of 3)	protein_coding-intron (FBgn0000253, intron 4 of 4)	6753	FBgn0000253	FBgn0000253	FBtr0088002			Cam			protein_coding
bam_atac.mRp.clN_peak_10800	3R	10587735	10588466	+	109	NA	intron (FBgn0263929, intron 2 of 6)	protein_coding-intron (FBgn0263929, intron 1 of 5)	-7918	FBgn0038258	FBgn0038258	FBtr0331700			CG7362			protein_coding
bam_atac.mRp.clN_peak_11051	3R	12307933	12308288	+	109	NA	promoter-TSS (FBgn0038437)	protein_coding-promoter-TSS (FBgn0038437)	33	FBgn0038437	FBgn0038437	FBtr0083308			CG14898			protein_coding
bam_atac.mRp.clN_peak_3779	2R	5301694	5302236	+	109	NA	promoter-TSS (FBgn0016078)	protein_coding-promoter-TSS (FBgn0016078)	116	FBgn0041087	FBgn0041087	FBtr0088506			wun2			protein_coding
bam_atac.mRp.clN_peak_7317	3L	9583685	9584606	+	109	NA	intron (FBgn0261555, intron 6 of 9)	protein_coding-intron (FBgn0261555, intron 6 of 9)	-6809	FBgn0036013	FBgn0036013	FBtr0076378			CG14177			protein_coding
bam_atac.mRp.clN_peak_15113	X	20353625	20354673	+	109	NA	intron (FBgn0031118, intron 5 of 15)	protein_coding-intron (FBgn0031118, intron 5 of 13)	-3058	FBgn0040649	FBgn0040649	FBtr0077311			CG15461			protein_coding
bam_atac.mRp.clN_peak_13766	X	3264721	3265884	+	109	NA	Intergenic	Intergenic	-1890	FBgn0262656	FBgn0262656	FBtr0070525			dm			protein_coding
bam_atac.mRp.clN_peak_1068	2L	8097424	8097875	+	109	NA	intron (FBgn0261822, intron 2 of 7)	protein_coding-intron (FBgn0261822, intron 2 of 6)	9345	FBgn0261822	FBgn0261822	FBtr0079573			Bsg			protein_coding
bam_atac.mRp.clN_peak_14182	X	8602844	8603862	+	109	NA	promoter-TSS (FBgn0041629)	protein_coding-promoter-TSS (FBgn0041629)	-332	FBgn0041629	FBgn0041629	FBtr0071249			Hexo2			protein_coding
bam_atac.mRp.clN_peak_13675	X	2138437	2138999	+	109	NA	exon (FBgn0000810, exon 2 of 2)	protein_coding-exon (FBgn0000810, exon 2 of 2)	-1546	FBgn0023523	FBgn0023523	FBtr0070397			Or2a			protein_coding
bam_atac.mRp.clN_peak_7662	3L	12472395	12472615	+	109	NA	intron (FBgn0036287, intron 2 of 7)	protein_coding-intron (FBgn0036287, intron 2 of 7)	5549	FBgn0036287	FBgn0036287	FBtr0113167			CG10663			protein_coding
bam_atac.mRp.clN_peak_3321	2R	2370816	2371073	+	109	NA	Intergenic	Intergenic	50156	FBgn0264506	FBgn0264506	FBtr0332951			CR43905			ncRNA
bam_atac.mRp.clN_peak_12075	3R	19652079	19652336	+	109	NA	promoter-TSS (FBgn0262974)	protein_coding-promoter-TSS (FBgn0262974)	151	FBgn0004187	FBgn0004187	FBtr0084487			snRNA:U1:95Cc			snRNA
bam_atac.mRp.clN_peak_6424	3L	3142646	3143485	+	109	NA	promoter-TSS (FBgn0035401)	protein_coding-promoter-TSS (FBgn0035401)	-743	FBgn0035401	FBgn0035401	FBtr0073023			CG1291			protein_coding
bam_atac.mRp.clN_peak_1132	2L	8449135	8450551	+	109	NA	promoter-TSS (FBgn0027780)	protein_coding-promoter-TSS (FBgn0027780)	-272	FBgn0027780	FBgn0027780	FBtr0089673			U26			protein_coding
bam_atac.mRp.clN_peak_6084	3L	690419	690949	+	109	NA	promoter-TSS (FBgn0052483)	protein_coding-promoter-TSS (FBgn0052483)	167	FBgn0035155	FBgn0035155	FBtr0330078			RabX6			protein_coding
bam_atac.mRp.clN_peak_1692	2L	13089514	13091011	+	109	NA	Intergenic	Intergenic	-16609	FBgn0032470	FBgn0032470	FBtr0301366			CG5142			protein_coding
bam_atac.mRp.clN_peak_9608	3R	1519918	1520512	+	108	NA	intron (FBgn0261261, intron 2 of 9)	protein_coding-intron (FBgn0261261, intron 2 of 9)	-1207	FBgn0037365	FBgn0037365	FBtr0078726			CG2104			protein_coding
bam_atac.mRp.clN_peak_2698	2L	21299629	21299888	+	108	NA	intron (FBgn0032940, intron 4 of 11)	protein_coding-intron (FBgn0032940, intron 4 of 11)	3444	FBgn0264556	FBgn0264556	FBtr0081511			Gr39a			protein_coding
bam_atac.mRp.clN_peak_6703	3L	5128887	5129647	+	108	NA	promoter-TSS (FBgn0035591)	protein_coding-promoter-TSS (FBgn0035591)	125	FBgn0035592	FBgn0035592	FBtr0077181			CG10674			protein_coding
bam_atac.mRp.clN_peak_10379	3R	7279924	7281009	+	108	NA	promoter-TSS (FBgn0037906)	protein_coding-promoter-TSS (FBgn0037906)	-386	FBgn0037906	FBgn0037906	FBtr0082398			PGRP-LB			protein_coding
bam_atac.mRp.clN_peak_10310	3R	6707653	6708179	+	108	NA	promoter-TSS (FBgn0037852)	protein_coding-promoter-TSS (FBgn0037852)	-28	FBgn0037852	FBgn0037852	FBtr0082334			Tpc1			protein_coding
bam_atac.mRp.clN_peak_3354	2R	2568807	2569713	+	108	NA	intron (FBgn0033092, intron 1 of 4)	protein_coding-intron (FBgn0033092, intron 1 of 4)	1314	FBgn0033092	FBgn0033092	FBtr0306112			CG9422			protein_coding
bam_atac.mRp.clN_peak_3380	2R	2724338	2725123	+	108	NA	TTS (FBgn0040674)	protein_coding-TTS (FBgn0040674)	-1653	FBgn0263517	FBgn0263517	FBtr0309584			mir-4976			pre_miRNA
bam_atac.mRp.clN_peak_11077	3R	12458531	12458761	+	108	NA	intron (FBgn0262742, intron 7 of 13)	protein_coding-intron (FBgn0262742, intron 7 of 12)	-7281	FBgn0015520	FBgn0015520	FBtr0083335			nonA-l			protein_coding
bam_atac.mRp.clN_peak_788	2L	6126040	6128195	+	108	NA	TTS (FBgn0261683)	protein_coding-TTS (FBgn0261683)	536	FBgn0031782	FBgn0031782	FBtr0333407			WDR79			protein_coding
bam_atac.mRp.clN_peak_15233	X	21873539	21874365	+	108	NA	promoter-TSS (FBgn0031188)	protein_coding-promoter-TSS (FBgn0031188)	-103	FBgn0031188	FBgn0031188	FBtr0077367			CG14613			protein_coding
bam_atac.mRp.clN_peak_8665	3L	19938273	19939928	+	108	NA	intron (FBgn0004852, intron 1 of 20)	protein_coding-intron (FBgn0004852, intron 1 of 19)	5135	FBgn0052219	FBgn0052219	FBtr0074914			CG32219			protein_coding
bam_atac.mRp.clN_peak_6251	3L	1829434	1830137	+	108	NA	promoter-TSS (FBgn0035279)	protein_coding-promoter-TSS (FBgn0035279)	-843	FBgn0035279	FBgn0035279	FBtr0299561			Cpr62Ba			protein_coding
bam_atac.mRp.clN_peak_10493	3R	8084766	8085640	+	108	NA	intron (FBgn0003651, intron 1 of 4)	protein_coding-intron (FBgn0003651, intron 1 of 4)	5294	FBgn0038008	FBgn0038008	FBtr0082561			CG3942			protein_coding
bam_atac.mRp.clN_peak_9716	3R	2261086	2261743	+	108	NA	intron (FBgn0264495, intron 2 of 9)	protein_coding-intron (FBgn0264495, intron 2 of 8)	20957	FBgn0037445	FBgn0037445	FBtr0330192			CG9727			protein_coding
bam_atac.mRp.clN_peak_3955	2R	6454044	6454682	+	108	NA	intron (FBgn0263102, intron 3 of 10)	protein_coding-intron (FBgn0263102, intron 3 of 9)	8970	FBgn0263102	FBgn0263102	FBtr0100606			psq			protein_coding
bam_atac.mRp.clN_peak_6301	3L	2254167	2254910	+	108	NA	intron (FBgn0035321, intron 1 of 3)	protein_coding-intron (FBgn0035321, intron 2 of 4)	2885	FBgn0035321	FBgn0035321	FBtr0072906			CG1275			protein_coding
bam_atac.mRp.clN_peak_9953	3R	4187851	4188518	+	108	NA	promoter-TSS (FBgn0037583)	protein_coding-promoter-TSS (FBgn0037583)	92	FBgn0037583	FBgn0037583	FBtr0081853			CG9684			protein_coding
bam_atac.mRp.clN_peak_7056	3L	7889321	7889943	+	108	NA	TTS (FBgn0035823)	protein_coding-TTS (FBgn0035823)	1652	FBgn0035823	FBgn0035823	FBtr0076747			eIF4E-5			protein_coding
bam_atac.mRp.clN_peak_3146	2R	1290244	1290537	+	108	NA	Intergenic	Intergenic	-13467	FBgn0259247	FBgn0259247	FBtr0301063			laccase2			protein_coding
bam_atac.mRp.clN_peak_8001	3L	15191219	15191500	+	108	NA	Intergenic	Intergenic	-9585	FBgn0036490	FBgn0036490	FBtr0075644			CG6888			protein_coding
bam_atac.mRp.clN_peak_11578	3R	16402697	16402964	+	108	NA	promoter-TSS (FBgn0038806)	protein_coding-promoter-TSS (FBgn0038806)	-89	FBgn0038805	FBgn0038805	FBtr0083949			TFAM			protein_coding
bam_atac.mRp.clN_peak_13565	X	1269465	1269812	+	108	NA	promoter-TSS (FBgn0023169)	protein_coding-promoter-TSS (FBgn0023169)	58	FBgn0023169	FBgn0023169	FBtr0070218			SNF1A			protein_coding
bam_atac.mRp.clN_peak_13625	X	1846898	1847441	+	108	NA	intron (FBgn0264562, intron 2 of 11)	protein_coding-intron (FBgn0264562, intron 2 of 11)	11196	FBgn0264562	FBgn0264562	FBtr0333339			Hr4			protein_coding
bam_atac.mRp.clN_peak_15064	X	19647891	19648483	+	108	NA	intron (FBgn0031069, intron 2 of 8)	protein_coding-intron (FBgn0031069, intron 2 of 8)	3354	FBgn0031069	FBgn0031069	FBtr0074795			Pmp70			protein_coding
bam_atac.mRp.clN_peak_1114	2L	8355557	8356537	+	108	NA	TTS (FBgn0051901)	protein_coding-TTS (FBgn0051901)	3860	FBgn0051901	FBgn0051901	FBtr0079607			Mur29B			protein_coding
bam_atac.mRp.clN_peak_8042	3L	15569324	15569933	+	108	NA	promoter-TSS (FBgn0036512)	protein_coding-promoter-TSS (FBgn0036512)	-42	FBgn0036512	FBgn0036512	FBtr0075563			CG16979			protein_coding
bam_atac.mRp.clN_peak_10616	3R	9250401	9251779	+	108	NA	promoter-TSS (FBgn0000046)	protein_coding-promoter-TSS (FBgn0000046)	-1079	FBgn0000046	FBgn0000046	FBtr0082786			Act87E			protein_coding
bam_atac.mRp.clN_peak_8045	3L	15580804	15581563	+	108	NA	promoter-TSS (FBgn0036518)	protein_coding-promoter-TSS (FBgn0036518)	-216	FBgn0036516	FBgn0036516	FBtr0301186			CG7656			protein_coding
bam_atac.mRp.clN_peak_3123	2R	1165215	1165450	+	108	NA	intron (FBgn0033015, intron 2 of 4)	protein_coding-intron (FBgn0033015, intron 2 of 4)	17848	FBgn0033015	FBgn0033015	FBtr0086083			d4			protein_coding
bam_atac.mRp.clN_peak_11020	3R	12117658	12118156	+	108	NA	intron (FBgn0250823, intron 3 of 11)	protein_coding-intron (FBgn0250823, intron 3 of 11)	-13578	FBgn0038412	FBgn0038412	FBtr0083266			Zip3			protein_coding
bam_atac.mRp.clN_peak_5745	2R	19555528	19555960	+	108	NA	promoter-TSS (FBgn0034886)	protein_coding-promoter-TSS (FBgn0034886)	-4241	FBgn0250870	FBgn0250870	FBtr0290304			CG42241			protein_coding
bam_atac.mRp.clN_peak_4721	2R	11784495	11785110	+	108	NA	promoter-TSS (FBgn0053463)	protein_coding-promoter-TSS (FBgn0053463)	-870	FBgn0053463	FBgn0053463	FBtr0087301			CG33463			protein_coding
bam_atac.mRp.clN_peak_3617	2R	4067291	4068148	+	108	NA	intron (FBgn0053087, intron 1 of 21)	protein_coding-intron (FBgn0053087, intron 1 of 22)	6049	FBgn0053087	FBgn0053087	FBtr0331381			LRP1			protein_coding
bam_atac.mRp.clN_peak_5801	2R	19901370	19902445	+	108	NA	promoter-TSS (FBgn0053519)	protein_coding-promoter-TSS (FBgn0053519)	-523	FBgn0053519	FBgn0053519	FBtr0091464			Unc-89			protein_coding
bam_atac.mRp.clN_peak_14815	X	16840132	16841049	+	108	NA	intron (FBgn0030808, intron 1 of 8)	protein_coding-intron (FBgn0030808, intron 1 of 8)	1914	FBgn0030807	FBgn0030807	FBtr0074416			CG13000			protein_coding
bam_atac.mRp.clN_peak_1253	2L	9506647	9506899	+	108	NA	intron (FBgn0032120, intron 3 of 15)	protein_coding-intron (FBgn0032120, intron 2 of 14)	11299	FBgn0032120	FBgn0032120	FBtr0301065			CG33298			protein_coding
bam_atac.mRp.clN_peak_7316	3L	9577662	9578824	+	108	NA	intron (FBgn0261555, intron 1 of 6)	protein_coding-intron (FBgn0261555, intron 5 of 9)	-12711	FBgn0036013	FBgn0036013	FBtr0076378			CG14177			protein_coding
bam_atac.mRp.clN_peak_12470	3R	22368386	22369094	+	107	NA	intron (FBgn0263289, intron 2 of 24)	protein_coding-intron (FBgn0263289, intron 2 of 22)	6668	FBgn0263289	FBgn0263289	FBtr0308629			scrib			protein_coding
bam_atac.mRp.clN_peak_12516	3R	22687891	22689132	+	107	NA	promoter-TSS (FBgn0039459)	protein_coding-promoter-TSS (FBgn0039459)	332	FBgn0051072	FBgn0051072	FBtr0300939			Lerp			protein_coding
bam_atac.mRp.clN_peak_63	2L	395641	396332	+	107	NA	promoter-TSS (FBgn0263871)	ncRNA-promoter-TSS (FBgn0263871)	-134	FBgn0263871	FBgn0263871	FBtr0329831			CR43718			ncRNA
bam_atac.mRp.clN_peak_4202	2R	8160664	8160964	+	107	NA	intron (FBgn0000253, intron 3 of 3)	protein_coding-intron (FBgn0000253, intron 4 of 4)	8749	FBgn0000253	FBgn0000253	FBtr0088002			Cam			protein_coding
bam_atac.mRp.clN_peak_649	2L	5186567	5187011	+	107	NA	promoter-TSS (FBgn0082990)	snoRNA-promoter-TSS (FBgn0082990)	-989	FBgn0082990	FBgn0082990	FBtr0113537			snoRNA:Psi28S-2263			snoRNA
bam_atac.mRp.clN_peak_12307	3R	21160558	21161399	+	107	NA	promoter-TSS (FBgn0039329)	protein_coding-promoter-TSS (FBgn0039329)	28	FBgn0039329	FBgn0039329	FBtr0084848			CG10669			protein_coding
bam_atac.mRp.clN_peak_8817	3L	20932842	20933934	+	107	NA	intron (FBgn0011591, intron 2 of 6)	protein_coding-intron (FBgn0011591, intron 2 of 6)	9224	FBgn0011591	FBgn0011591	FBtr0078267			fng			protein_coding
bam_atac.mRp.clN_peak_9276	3L	24049746	24050516	+	107	NA	Intergenic	Intergenic	-17198	FBgn0011288	FBgn0011288	FBtr0304626			Snap25			protein_coding
bam_atac.mRp.clN_peak_3343	2R	2523556	2524286	+	107	NA	promoter-TSS (FBgn0042085)	protein_coding-promoter-TSS (FBgn0042085)	-100	FBgn0042085	FBgn0042085	FBtr0309856			Bap170			protein_coding
bam_atac.mRp.clN_peak_4646	2R	11242633	11243419	+	107	NA	intron (FBgn0034013, intron 1 of 9)	protein_coding-intron (FBgn0034013, intron 1 of 9)	5367	FBgn0034013	FBgn0034013	FBtr0087382			unc-5			protein_coding
bam_atac.mRp.clN_peak_6058	3L	557416	558007	+	107	NA	intron (FBgn0035142, intron 2 of 10)	protein_coding-intron (FBgn0035142, intron 2 of 10)	-11615	FBgn0035142	FBgn0035142	FBtr0331786			hipk			protein_coding
bam_atac.mRp.clN_peak_12003	3R	19173309	19174130	+	107	NA	promoter-TSS (FBgn0264326)	protein_coding-promoter-TSS (FBgn0264326)	-131	FBgn0264326	FBgn0264326	FBtr0084408			DNApol-epsilon			protein_coding
bam_atac.mRp.clN_peak_2618	2L	20852276	20853132	+	107	NA	exon (FBgn0032895, exon 1 of 3)	protein_coding-exon (FBgn0032895, exon 1 of 3)	123	FBgn0032895	FBgn0032895	FBtr0081426			CG9335			protein_coding
bam_atac.mRp.clN_peak_7041	3L	7801860	7802126	+	107	NA	intron (FBgn0052369, intron 1 of 6)	protein_coding-intron (FBgn0052369, intron 1 of 6)	932	FBgn0052369	FBgn0052369	FBtr0076783			CG32369			protein_coding
bam_atac.mRp.clN_peak_8717	3L	20313105	20313566	+	107	NA	promoter-TSS (FBgn0036969)	protein_coding-promoter-TSS (FBgn0036969)	-717	FBgn0036969	FBgn0036969	FBtr0074843			Spn77Bb			protein_coding
bam_atac.mRp.clN_peak_6633	3L	4517375	4518575	+	107	NA	intron (FBgn0014073, intron 2 of 5)	protein_coding-intron (FBgn0014073, intron 2 of 5)	-9542	FBgn0261526	FBgn0261526	FBtr0301520			NT1			protein_coding
bam_atac.mRp.clN_peak_655	2L	5230604	5231259	+	107	NA	intron (FBgn0003716, intron 2 of 3)	protein_coding-intron (FBgn0003716, intron 2 of 3)	6427	FBgn0003716	FBgn0003716	FBtr0079089			tkv			protein_coding
bam_atac.mRp.clN_peak_10235	3R	6093937	6094559	+	107	NA	intron (FBgn0262617, intron 1 of 13)	protein_coding-intron (FBgn0262617, intron 1 of 11)	6414	FBgn0040078	FBgn0040078	FBtr0082226			pont			protein_coding
bam_atac.mRp.clN_peak_11958	3R	18882970	18883364	+	107	NA	exon (FBgn0039045, exon 1 of 8)	protein_coding-exon (FBgn0039045, exon 1 of 8)	101	FBgn0039045	FBgn0039045	FBtr0084358			CG17119			protein_coding
bam_atac.mRp.clN_peak_14838	X	17185349	17187008	+	107	NA	promoter-TSS (FBgn0024238)	protein_coding-promoter-TSS (FBgn0024238)	-477	FBgn0024238	FBgn0024238	FBtr0074443			Fim			protein_coding
bam_atac.mRp.clN_peak_10607	3R	9200680	9201130	+	107	NA	intron (FBgn0038143, intron 4 of 7)	protein_coding-intron (FBgn0038143, intron 5 of 8)	2553	FBgn0259831	FBgn0259831	FBtr0112505			CG34309			protein_coding
bam_atac.mRp.clN_peak_11680	3R	17026093	17026436	+	107	NA	intron (FBgn0264357, intron 1 of 8)	protein_coding-intron (FBgn0264357, intron 7 of 12)	-14537	FBgn0038868	FBgn0038868	FBtr0084049			CG5862			protein_coding
bam_atac.mRp.clN_peak_11929	3R	18605401	18606250	+	107	NA	promoter-TSS (FBgn0263663)	ncRNA-promoter-TSS (FBgn0263663)	-369	FBgn0263663	FBgn0263663	FBtr0310109			CR43654			ncRNA
bam_atac.mRp.clN_peak_2464	2L	19577326	19577703	+	107	NA	promoter-TSS (FBgn0027949)	protein_coding-promoter-TSS (FBgn0027949)	-193	FBgn0027949	FBgn0027949	FBtr0081258			msb1l			protein_coding
bam_atac.mRp.clN_peak_6793	3L	5812129	5813014	+	107	NA	intron (FBgn0003984, intron 1 of 5)	protein_coding-intron (FBgn0003984, intron 1 of 5)	-6378	FBgn0035640	FBgn0035640	FBtr0077113			mad2			protein_coding
bam_atac.mRp.clN_peak_1051	2L	8001703	8002336	+	106	NA	intron (FBgn0031972, intron 3 of 5)	protein_coding-intron (FBgn0031972, intron 3 of 5)	2294	FBgn0031972	FBgn0031972	FBtr0079550			Wwox			protein_coding
bam_atac.mRp.clN_peak_3304	2R	2248937	2249158	+	106	NA	Intergenic	Intergenic	116006	FBgn0033075	FBgn0033075	FBtr0114492			Pld			protein_coding
bam_atac.mRp.clN_peak_4010	2R	6872175	6872510	+	106	NA	intron (FBgn0040765, intron 4 of 4)	protein_coding-intron (FBgn0040765, intron 4 of 4)	-43136	FBgn0033574	FBgn0033574	FBtr0088211			Spn47C			protein_coding
bam_atac.mRp.clN_peak_4702	2R	11641557	11642215	+	106	NA	intron (FBgn0050089, intron 3 of 6)	protein_coding-intron (FBgn0050089, intron 3 of 6)	26983	FBgn0050089	FBgn0050089	FBtr0087285			CG30089			protein_coding
bam_atac.mRp.clN_peak_3722	2R	4979819	4980470	+	106	NA	promoter-TSS (FBgn0033373)	protein_coding-promoter-TSS (FBgn0033373)	-854	FBgn0033373	FBgn0033373	FBtr0310146			CG8080			protein_coding
bam_atac.mRp.clN_peak_3836	2R	5723799	5724463	+	106	NA	promoter-TSS (FBgn0033449)	protein_coding-promoter-TSS (FBgn0033449)	-404	FBgn0033449	FBgn0033449	FBtr0088477			CG1663			protein_coding
bam_atac.mRp.clN_peak_14629	X	14497730	14498043	+	106	NA	TTS (FBgn0015773)	protein_coding-TTS (FBgn0015773)	-12265	FBgn0030574	FBgn0030574	FBtr0073944			CG9413			protein_coding
bam_atac.mRp.clN_peak_14803	X	16710355	16710915	+	106	NA	promoter-TSS (FBgn0030796)	protein_coding-promoter-TSS (FBgn0030796)	4902	FBgn0030796	FBgn0030796	FBtr0112994			CG4829			protein_coding
bam_atac.mRp.clN_peak_1681	2L	13021103	13021630	+	106	NA	promoter-TSS (FBgn0028965)	protein_coding-promoter-TSS (FBgn0028965)	-59	FBgn0028965	FBgn0028965	FBtr0080427			A16			protein_coding
bam_atac.mRp.clN_peak_5725	2R	19452079	19452550	+	106	NA	promoter-TSS (FBgn0015903)	protein_coding-promoter-TSS (FBgn0015903)	762	FBgn0050184	FBgn0050184	FBtr0072065			CG30184			protein_coding
bam_atac.mRp.clN_peak_3887	2R	6059113	6060021	+	106	NA	intron (FBgn0033494, intron 1 of 16)	protein_coding-intron (FBgn0033494, intron 1 of 16)	-13478	FBgn0033495	FBgn0033495	FBtr0088370			CG12214			protein_coding
bam_atac.mRp.clN_peak_9321	3L	24367413	24368034	+	106	NA	intron (FBgn0259697, intron 3 of 5)	protein_coding-intron (FBgn0259697, intron 3 of 5)	49756	FBgn0259697	FBgn0259697	FBtr0113473			nvd			protein_coding
bam_atac.mRp.clN_peak_585	2L	4701021	4701560	+	106	NA	exon (FBgn0031623, exon 1 of 2)	protein_coding-exon (FBgn0031623, exon 1 of 2)	298	FBgn0031623	FBgn0031623	FBtr0077420			Taf12L			protein_coding
bam_atac.mRp.clN_peak_9361	3R	92604	92899	+	106	NA	promoter-TSS (FBgn0037228)	protein_coding-promoter-TSS (FBgn0037228)	57	FBgn0037228	FBgn0037228	FBtr0111222			CG1092			protein_coding
bam_atac.mRp.clN_peak_14895	X	17805368	17805610	+	106	NA	promoter-TSS (FBgn0030884)	protein_coding-promoter-TSS (FBgn0030884)	-7	FBgn0030884	FBgn0030884	FBtr0074505			CG6847			protein_coding
bam_atac.mRp.clN_peak_510	2L	4055732	4056235	+	106	NA	intron (FBgn0000547, intron 2 of 8)	protein_coding-intron (FBgn0000547, intron 2 of 8)	24604	FBgn0000547	FBgn0000547	FBtr0077465			ed			protein_coding
bam_atac.mRp.clN_peak_10634	3R	9408473	9409068	+	106	NA	Intergenic	Intergenic	-4949	FBgn0038158	FBgn0038158	FBtr0082788			CG14370			protein_coding
bam_atac.mRp.clN_peak_14563	X	13520628	13520899	+	106	NA	intron (FBgn0030505, intron 1 of 8)	protein_coding-intron (FBgn0030505, intron 1 of 9)	-2324	FBgn0030504	FBgn0030504	FBtr0073848			CG2691			protein_coding
bam_atac.mRp.clN_peak_1562	2L	11973388	11973875	+	106	NA	Intergenic	Intergenic	-2537	FBgn0263019	FBgn0263019	FBtr0306898			CR43314			ncRNA
bam_atac.mRp.clN_peak_12673	3R	24106072	24107191	+	106	NA	Intergenic	Intergenic	-1671	FBgn0085465	FBgn0085465	FBtr0112737			CG34436			protein_coding
bam_atac.mRp.clN_peak_15224	X	21829598	21830416	+	106	NA	Intergenic	Intergenic	-16583	FBgn0031183	FBgn0031183	FBtr0077344			CG14621			protein_coding
bam_atac.mRp.clN_peak_9162	3L	23173788	23175114	+	106	NA	intron (FBgn0054031, intron 1 of 2)	protein_coding-intron (FBgn0054031, intron 1 of 2)	2562	FBgn0264698	FBgn0264698	FBtr0333905			CR43967			ncRNA
bam_atac.mRp.clN_peak_14649	X	14960200	14960753	+	106	NA	promoter-TSS (FBgn0030607)	protein_coding-promoter-TSS (FBgn0030607)	-124	FBgn0264389	FBgn0264389	FBtr0073969			opm			protein_coding
bam_atac.mRp.clN_peak_9573	3R	1328266	1328686	+	106	NA	promoter-TSS (FBgn0051547)	protein_coding-promoter-TSS (FBgn0051547)	-3740	FBgn0051547	FBgn0051547	FBtr0078765			CG31547			protein_coding
bam_atac.mRp.clN_peak_13496	X	678074	678895	+	106	NA	promoter-TSS (FBgn0086368)	protein_coding-promoter-TSS (FBgn0086368)	-340	FBgn0086368	FBgn0086368	FBtr0070139			tw			protein_coding
bam_atac.mRp.clN_peak_2611	2L	20810924	20811452	+	106	NA	intron (FBgn0032886, intron 1 of 2)	protein_coding-intron (FBgn0032886, intron 1 of 2)	1130	FBgn0032886	FBgn0032886	FBtr0081416			CG9328			protein_coding
bam_atac.mRp.clN_peak_9408	3R	390915	391524	+	106	NA	Intergenic	Intergenic	-7430	FBgn0085386	FBgn0085386	FBtr0112568			CG34357			protein_coding
bam_atac.mRp.clN_peak_6394	3L	2885729	2886181	+	106	NA	exon (FBgn0035379, exon 5 of 6)	protein_coding-exon (FBgn0035379, exon 5 of 6)	6211	FBgn0035379	FBgn0035379	FBtr0073011			spz5			protein_coding
bam_atac.mRp.clN_peak_15107	X	20319270	20320725	+	106	NA	promoter-TSS (FBgn0052506)	protein_coding-promoter-TSS (FBgn0052506)	-374	FBgn0052506	FBgn0052506	FBtr0307539			CG32506			protein_coding
bam_atac.mRp.clN_peak_11136	3R	12941757	12942433	+	106	NA	intron (FBgn0014141, intron 3 of 17)	protein_coding-intron (FBgn0014141, intron 2 of 15)	-4106	FBgn0085307	FBgn0085307	FBtr0112473			CG34278			protein_coding
bam_atac.mRp.clN_peak_3592	2R	3952739	3953148	+	106	NA	TTS (FBgn0040778)	protein_coding-TTS (FBgn0040778)	2217	FBgn0040778	FBgn0040778	FBtr0088826			CG17977			protein_coding
bam_atac.mRp.clN_peak_13530	X	1056062	1056593	+	106	NA	promoter-TSS (FBgn0040368)	protein_coding-promoter-TSS (FBgn0040368)	95	FBgn0040368	FBgn0040368	FBtr0070252			eIF4E-7			protein_coding
bam_atac.mRp.clN_peak_3039	2R	701134	701663	+	106	NA	Intergenic	Intergenic	10415	FBgn0261387	FBgn0261387	FBtr0111277			CG17528			protein_coding
bam_atac.mRp.clN_peak_6168	3L	1218303	1219595	+	106	NA	promoter-TSS (FBgn0004429)	protein_coding-promoter-TSS (FBgn0004429)	-253	FBgn0004429	FBgn0004429	FBtr0072633			LysP			protein_coding
bam_atac.mRp.clN_peak_9749	3R	2485217	2485910	+	106	NA	TTS (FBgn0262801)	protein_coding-TTS (FBgn0262801)	259	FBgn0024912	FBgn0024912	FBtr0081697			agt			protein_coding
bam_atac.mRp.clN_peak_14072	X	7136101	7136574	+	106	NA	TTS (FBgn0029939)	protein_coding-TTS (FBgn0029939)	-24600	FBgn0029940	FBgn0029940	FBtr0071046			CG1958			protein_coding
bam_atac.mRp.clN_peak_1167	2L	8720924	8721476	+	106	NA	intron (FBgn0003209, intron 1 of 8)	protein_coding-intron (FBgn0003209, intron 1 of 8)	15628	FBgn0032061	FBgn0032061	FBtr0079731			CG9314			protein_coding
bam_atac.mRp.clN_peak_233	2L	1723960	1724414	+	106	NA	TTS (FBgn0000579)	protein_coding-TTS (FBgn0000579)	201	FBgn0031359	FBgn0031359	FBtr0077910			CG18317			protein_coding
bam_atac.mRp.clN_peak_14810	X	16779967	16781016	+	106	NA	promoter-TSS (FBgn0030803)	protein_coding-promoter-TSS (FBgn0030803)	102	FBgn0030802	FBgn0030802	FBtr0074347			CG9099			protein_coding
bam_atac.mRp.clN_peak_13721	X	2503943	2504425	+	106	NA	exon (FBgn0029629, exon 2 of 2)	protein_coding-exon (FBgn0029629, exon 2 of 2)	211	FBgn0029629	FBgn0029629	FBtr0070446			CG8636			protein_coding
